                 0.1              0.00014              1400000
                   1               0.0014              1400000
                  10                0.014              1400000
                 100    0.140000000000001              1400000
                1000      1.4000000000014              1400000
               10000        14.0000000014              1400000
              100000          140.0000014              1400000
             1000000            1400.0014      1399999.9999986
            10000000      14001.399999986      1399999.9859986
            20000000     28011.1999982073      1399999.7759104
            30000000     42037.7999693544      1399998.8649794
            40000000      56089.599770257     1399996.41026561
            50000000     70174.9989035157     1399991.22812514
            60000000     84302.3960667874     1399981.79068245
            70000000     98480.1884139043     1399966.22129537
            80000000     112716.770451975     1399942.28901353
            90000000     127020.532496081     1399907.40203181
           100000000     141399.858600141      1399858.6001414
           110000000     155863.123878968     1399792.54618212
           120000000     170418.691132515     1399705.51650172
           130000000     185074.906678775     1399593.39043003
           140000000     199840.095296808     1399451.63877851
           150000000     214722.554175906     1399275.31137966
           160000000     229730.545761012     1399059.02368456
           170000000     244872.289378219     1398796.94244228
           180000000     260155.951517502     1398482.77049075
           190000000     275589.634642844     1398109.73069598
           200000000     291181.364392679     1397670.54908486
           210000000     306939.075026152     1397157.43722618
           220000000     322870.592963165     1396562.07392613
           230000000     338983.618258715     1395875.58631665
           240000000     355285.703844665     1395088.53043005
           250000000     371784.232365145     1394190.87136929
           260000000     388486.390425236     1393171.96320189
           270000000     405399.140066915     1392020.52872606
           280000000     422529.187281492      1390724.6392808
           290000000     439882.947364398     1389271.69479673
           300000000     457466.506916458     1387648.40431326
           310000000     475285.582296186     1385840.76721781
           320000000      493345.47433053     1383834.05549714
           330000000     511651.019097529     1381612.79732669
           340000000     530206.534603952     1379160.76236393
           350000000     549015.763194936     1376460.94915302
           360000000     568081.809551565     1373495.57509356
           370000000     587407.074157002     1370246.06947273
           380000000     606993.182143045     1366693.07010945
           390000000     626840.907467708     1362816.42420992
           400000000     646950.092421442     1358595.19408503
           410000000     667319.562515991     1354007.66843184
           420000000     687947.036876395      1349031.3799319
           430000000     708829.034334301     1343643.12996718
           440000000     729960.775510328     1337819.02129893
           450000000     751336.081275482     1331534.49959377
           460000000     772947.268097096      1324764.4047125
           470000000     794785.040903829     1317483.03269824
           480000000     816838.384246999     1309664.20940936
           490000000     839094.452691531     1301281.37673529
           500000000     861538.461538462     1292307.69230769
           510000000     884153.579160802     1282716.14357074
           520000000     906920.822423707     1272479.67700065
           530000000     929818.956855661      1261571.3431602
           540000000     952824.403436137     1249964.45813733
           550000000     975911.154062468     1237632.78174286
           560000000     999050.697949051     1224550.71262898
           570000000     1022211.96138893      1210693.5002345
           580000000     1045361.26346379     1196037.47316305
           590000000     1068462.29041501     1180560.28325686
           600000000     1091476.09147609     1164241.16424116
           610000000     1114361.09900588     1147061.20338655
           620000000     1137073.17574163     1129003.62417185
           630000000     1159565.69190095     1110054.07743724
           640000000     1181789.63469194     1090200.93800332
           650000000     1203693.75253181     1069435.60321095
           660000000     1225224.73591899     1047752.78932224
           670000000     1246327.43644624     1025150.82123212
           680000000     1266945.12488033     1001631.91049363
           690000000     1287019.78856876     977202.416277064
           700000000     1306492.46767098     951873.083588855
           710000000     1325303.62886133     925659.252890612
           720000000     1343393.57422868     898581.035206294
           730000000     1360702.88212448     870663.446904581
           740000000      1377172.8757135     841936.498611873
           750000000     1392746.11398964     812435.233160622
           760000000     1407366.89906915     782199.708114222
           770000000     1420981.79270193      751274.91923241
           780000000     1433540.13418776     719710.662240931
           790000000     1444994.55128614     687561.331428432
           800000000     1455301.45530146     654885.654885655
           810000000     1464421.51133956     621746.367592192
           820000000     1472320.07479181     588209.825002191
           830000000     1478967.58542161     554345.561234534
           840000000     1484339.91101231     520225.797383361
           850000000     1488418.63337529     485924.906778402
           860000000     1491191.27059603     451518.845189774
           870000000      1492651.4306825     417084.554941282
           880000000     1492798.89323502     382699.352629342
           890000000     1491639.61733051     348440.310610127
           900000000     1489185.67545207     314383.642595438
           910000000     1485455.11493907     280604.103580249
           920000000     1480471.75002428     247174.413917096
           930000000     1474264.88900818     214164.716672048
           940000000     1466869.00244526     181642.076473008
           950000000     1458323.33934115     149670.026932381
           960000000     1448671.49925083     118308.172438818
           970000000     1437960.96880492     87611.8487179079
           980000000     1426242.63156485     57631.8451122125
           990000000     1413570.26021962     28414.1900791622
          1000000000              1400000                    0
          1010000000     1385589.85182234    -27574.6099224049
          1020000000      1370399.1631122    -54278.5550879736
          1030000000     1354488.13353329    -80085.7546914345
          1040000000     1337917.34199637    -104975.052987408
          1050000000     1320747.30038578    -128930.093609088
          1060000000     1303038.03845501    -151939.152408527
          1070000000     1284848.72334369    -173994.934591122
          1080000000      1266237.3161879    -195094.342049691
          1090000000     1247260.26736111     -215238.21678039
          1100000000     1227972.25101667    -234431.066103182
          1110000000     1208425.93882079    -252680.775135409
          1120000000     1188671.81207923    -269998.311600855
          1130000000     1168758.01087759    -286397.427621243
          1140000000     1148730.21837621    -301894.362653957
          1150000000     1128631.57802498    -316507.551228745
          1160000000     1108502.64118501    -330257.338615121
          1170000000     1088381.34245672    -343165.707036141
          1180000000     1068302.99990864    -355256.014545889
          1190000000     1048300.33736709     -366552.74821718
          1200000000     1028403.52595495    -377081.292850147
          1210000000     1008640.24214606    -386867.716016518
          1220000000     989035.739721371    -395938.569901572
          1230000000     969612.933163528    -404320.710097214
          1240000000     950392.490200008      -412041.1312351
          1250000000     931392.931392931    -419126.819126819
          1260000000     912630.734870134     -425604.61889658
          1270000000     894120.444490908     -431501.11844762
          1280000000     875874.779936461     -436842.54649331
          1290000000     857904.747405932    -441654.684304092
          1300000000     840219.749780712    -445962.790268224
