name 	 betax 	 betay 	 length
BS_50A	8.62989e+01	9.10156e+01	2.19920348e+04
BS_50L	1.45598e+02	1.48037e+02	1.67234600e+02
BS_53V	7.68168e+01	7.69959e+01	3.15260000e+01
BS_53H	7.70243e+01	7.70444e+01	3.15260000e+01
BS_63V	1.60226e+02	1.63869e+02	2.84219500e+02
BS_63H	1.48391e+02	1.48535e+02	9.49760000e+01
BS_69	1.55039e+02	1.64937e+02	1.30644500e+02
BS_74	1.24170e+02	1.24185e+02	6.46100000e+01
MBW	1.38530e+02	1.35466e+02	7.06000000e+01
MQW_V	1.92688e+02	2.10138e+02	7.45920000e+01
MQW_H	1.92688e+02	2.10138e+02	7.45920000e+01
Warm_Pipe	1.46790e+02	1.54827e+02	3.59225980e+03
taperBS53_BS63	9.74119e+01	9.77520e+01	1.20000000e-01
taperBS63_BS74	1.49356e+02	1.49989e+02	3.08000000e-01
taperBS74_warm	1.45708e+02	1.46331e+02	1.40000000e-01
BPM61CW	5.27658e+01	5.28987e+01	1.20000000e+00
BPM61strip	1.11680e+02	1.14863e+02	1.00000000e+00
BPM80strip	1.31004e+02	1.31831e+02	1.00000000e+00
RF	2.35044e+02	2.74089e+02	8.76000000e+00
CMS	3.11260e+01	3.11357e+01	1.86000000e+01
ALICE	3.96362e+01	3.95066e+01	8.60000000e+00
LHCb	3.94840e+01	3.95565e+01	8.60000000e+00
