1549.58 	 10128 	 750900000
1249.42 	 10076 	 786500000
1043.64 	 10035 	 816300000
889.911 	 9999 	 843100000
777.504 	 9968 	 868000000
675.852 	 9939 	 891500000
594.9 	 9915 	 914000000
524.17 	 9890 	 935600000
454.02 	 9870 	 956600000
413.616 	 9848 	 977000000
373.54 	 9830 	 996800000
353.304 	 9814 	 1016200000
342.755 	 9793 	 1035200000
351.864 	 9774 	 1053800000
390.4 	 9760 	 1.0721e+09
438.345 	 9741 	 1090000000
505.44 	 9720 	 1107800000
582.3 	 9705 	 1125200000
7062.48 	 8053 	 1137700000
649.096 	 9688 	 1142500000
725.55 	 9674 	 1159600000
5702.94 	 8055 	 1171300000
791.71 	 9655 	 1176600000
819.74 	 9644 	 1193500000
4956.95 	 8047 	 1199200000
837.897 	 9631 	 1210200000
4436.42 	 8037 	 1224100000
856.625 	 9625 	 1226900000
855.735 	 9615 	 1243500000
4029.05 	 8026 	 1247000000
835.461 	 9603 	 1259900000
3718.96 	 8015 	 1268700000
805.812 	 9593 	 1276300000
3402.55 	 8006 	 1289300000
1062.49 	 9572 	 1292500000
3105.69 	 9002 	 1308200000
1629.11 	 8441 	 1309400000
665.412 	 9372 	 1324200000
2386.52 	 8173 	 1328900000
920.808 	 9396 	 1340100000
3682.22 	 8312 	 1349000000
2361 	 9332 	 1356800000
3975.34 	 8795 	 1371800000
2937.97 	 8930 	 1375300000
434.139 	 9237 	 1387500000
961.29 	 8739 	 1396500000
553.5 	 9225 	 1405500000
647.378 	 9118 	 1418300000
2688.83 	 8933 	 1426900000
2983.97 	 9267 	 1445200000
