4.80 	 3941 	 1464600000
11.15 	 3948 	 1465900000
53.38 	 3958 	 1468100000
19.81 	 3974 	 1471100000
189.27 	 3994 	 1475000000
0.91 	 4018 	 1479700000
371.46 	 4046 	 1485300000
119.15 	 4079 	 1491700000
300.04 	 4116 	 1498900000
672.68 	 4157 	 1506900000
2.45 	 4202 	 1515700000
952.08 	 4251 	 1525300000
770.41 	 4305 	 1535700000
73.49 	 4362 	 1546800000
1589.94 	 4423 	 1558600000
1130.94 	 4488 	 1571100000
42.43 	 4556 	 1584400000
1940.03 	 4629 	 1598200000
2219.85 	 4704 	 1612800000
152.32 	 4783 	 1628000000
1200.28 	 4865 	 1643700000
3531.26 	 4951 	 1660100000
2075.94 	 5039 	 1677100000
10.50 	 5130 	 1694600000
1996.45 	 5223 	 1712600000
4641.43 	 5319 	 1731100000
3199.79 	 5418 	 1750100000
284.04 	 5518 	 1769600000
1019.72 	 5620 	 1789600000
4539.97 	 5723 	 1809900000
5746.53 	 5828 	 1830700000
3055.70 	 5934 	 1851900000
223.56 	 6040 	 1873400000
932.05 	 6146 	 1895300000
4341.09 	 6252 	 1917500000
6647.86 	 6358 	 1940000000
5568.34 	 6462 	 1962800000
2380.83 	 6564 	 1985900000
143.03 	 6662 	 2009200000
739.80 	 6755 	 2032700000
3589.39 	 6838 	 2056500000
6529.24 	 6905 	 2080400000
7566.55 	 6935 	 2.1043e+09
6034.87 	 6821 	 2128100000
0.42 	 3260 	 2143000000
30.39 	 3274 	 2144000000
7.78 	 3309 	 2.1457e+09
284.93 	 3439 	 2147900000
531.91 	 3999 	 2150300000
817.43 	 4000 	 2152500000
188.83 	 3530 	 2155700000
45.90 	 3434 	 2159900000
146.84 	 3448 	 2164800000
217.20 	 3586 	 2170100000
42.26 	 4139 	 2175000000
535.97 	 4103 	 2179300000
118.86 	 3676 	 2185100000
228.59 	 3675 	 2191900000
108.89 	 4069 	 2198600000
602.83 	 4374 	 2204200000
