#	ID	name	Material	Length[m]	 s [m]	angle[rad]	betax[m]	betay[m]	halfgap[m]	sigx[m]	sigy[m]	nsig	
	64	TCL.5R1.B1	CU	1.00	184.36	0.00	172.29	903.46	2.94E-03	2.94E-04	6.74E-04	10.00	
	57	TCTH.4L2.B1	W	1.00	3214.49	0.00	77.92	90.43	1.64E-03	1.98E-04	2.13E-04	8.30	
	72	TDI.4L2.B1	CU	4.00	3251.6	1.57	138.58	87.80	1.89E-01	2.64E-04	2.10E-04	900.00	
	61	TCTVB.4L2	W	1.00	3258.95	1.57	155.16	91.01	1.78E-03	2.79E-04	2.14E-04	8.30	
	67	TCLIA.4R2	C	1.00	3408.18	1.57	89.86	149.70	2.47E-01	2.13E-04	2.74E-04	900.00	
	68	TCLIB.6R2.B1	C	1.00	3560.09	1.57	176.59	74.45	1.74E-01	2.98E-04	1.93E-04	900.00	
	1	TCP.6L3.B1	C	0.60	6487.67	0.00	131.52	144.70	1.54E-03	2.57E-04	2.70E-04	6.00	
	73	TCP.A6L3.B1	C	0.60	6489.27	1.57	126.08	151.38	1.66E-03	2.52E-04	2.76E-04	6.00	
	2	TCSG.5L3.B1	C	1.00	6521.99	0.00	54.61	298.63	1.16E-03	1.66E-04	3.87E-04	7.00	
	3	TCSG.A5L3.B1	C	1.00	6523.04	1.57	53.48	301.85	2.73E-03	1.64E-04	3.90E-04	7.00	
	4	TCSG.4R3.B1	C	1.00	6707.58	0.00	26.21	395.17	8.03E-04	1.15E-04	4.46E-04	7.00	
	5	TCSG.B4R3.B1	C	1.00	6709.53	1.57	26.90	389.29	3.10E-03	1.16E-04	4.42E-04	7.00	
	6	TCSG.A5R3.B1	C	1.00	6718.92	2.98	35.87	344.08	1.04E-03	1.34E-04	4.16E-04	7.00	
	7	TCSG.C5R3.B1	C	1.00	6720.92	1.57	38.87	333.09	2.86E-03	1.40E-04	4.09E-04	7.00	
	8	TCSG.B5R3.B1	C	1.00	6724.74	0.20	45.54	312.65	1.17E-03	1.51E-04	3.96E-04	7.00	
	9	TCSG.D5R3.B1	C	1.00	6726.74	1.57	49.52	302.25	2.73E-03	1.58E-04	3.90E-04	7.00	
	46	TCLA.A5R3.B1	W	1.00	6755.22	1.57	142.52	176.00	2.97E-03	2.68E-04	2.97E-04	10.00	
	47	TCLA.B5R3.B1	W	1.00	6757.22	0.00	151.61	168.67	2.76E-03	2.76E-04	2.91E-04	10.00	
	48	TCLA.6R3.B1	W	1.00	6843.77	0.00	129.42	168.70	2.55E-03	2.55E-04	2.91E-04	10.00	
	49	TCLA.7R3.B1	W	1.00	6915.18	0.00	66.23	96.90	1.82E-03	1.82E-04	2.21E-04	10.00	
	74	TCRYO.AR3.B1	W	1.00	6964.11	0.00	35.19	196.80	2.66E-03	1.33E-04	3.15E-04	20.00	
	75	TCRYO.BR3.B1	W	1.00	7053.66	0.00	55.88	160.08	3.35E-03	1.68E-04	2.84E-04	20.00	
	58	TCTH.4L5.B1	W	1.00	13181.77	0.00	1574.90	602.24	7.38E-03	8.90E-04	5.50E-04	8.30	
	59	TCTVA.4L5.B1	W	1.00	13183.45	1.57	1581.00	635.84	4.69E-03	8.91E-04	5.65E-04	8.30	
	66	TCL.5R5.B1	CU	1.00	13513.55	0.00	172.71	906.71	2.95E-03	2.95E-04	6.75E-04	10.00	
	69	TCDQA.A4R6.B1	C	3.00	16808.52	0.00	495.25	165.46	3.99E-03	4.99E-04	2.88E-04	8.00	
	70	TCDQA.B4R6.B1	C	3.00	16812.07	0.00	506.39	169.73	4.04E-03	5.05E-04	2.92E-04	8.00	
	71	TCSG.4R6.B1	C	1.00	16815.98	0.00	518.85	174.68	3.83E-03	5.11E-04	2.96E-04	7.50	
	10	TCP.D6L7.B1	C	0.60	19789.18	1.57	158.87	78.26	1.79E-01	2.83E-04	1.98E-04	900.00	
	11	TCP.C6L7.B1	C	0.60	19791.18	0.00	150.53	82.76	2.48E-01	2.75E-04	2.04E-04	900.00	
	12	TCP.B6L7.B1	C	0.60	19793.18	2.22	142.46	87.49	2.09E-01	2.68E-04	2.10E-04	900.00	
	16	TCSG.A6L7.B1	C	1.00	19832.68	2.46	39.87	226.93	2.15E-01	1.42E-04	3.38E-04	900.00	
	17	TCSM.A6L7.B1	CU	1.00	19834.68	2.49	37.55	236.32	2.13E-01	1.37E-04	3.45E-04	900.00	
	18	TCSG.B5L7.B1	C	1.00	19891.91	2.50	159.98	166.51	2.57E-01	2.84E-04	2.89E-04	900.00	
	19	TCSM.B5L7.B1	CU	1.00	19893.91	2.47	172.70	156.03	2.60E-01	2.95E-04	2.80E-04	900.00	
	20	TCSG.A5L7.B1	C	1.00	19895.91	0.71	185.96	145.93	2.62E-01	3.06E-04	2.71E-04	900.00	
	21	TCSM.A5L7.B1	CU	1.00	19897.91	0.75	199.75	136.22	2.64E-01	3.17E-04	2.62E-04	900.00	
	22	TCSG.D4L7.B1	C	1.00	19917.24	1.57	332.92	68.86	1.67E-01	4.09E-04	1.86E-04	900.00	
	23	TCSM.D4L7.B1	CU	1.00	19919.24	1.57	341.03	65.36	1.63E-01	4.14E-04	1.81E-04	900.00	
	26	TCSG.B4L7.B1	C	1.00	19987.16	0.00	139.75	130.98	2.39E-01	2.65E-04	2.57E-04	900.00	
	27	TCSM.B4L7.B1	CU	1.00	19989.16	0.00	134.12	136.06	2.34E-01	2.60E-04	2.62E-04	900.00	
	28	TCSG.A4L7.B1	C	1.00	19991.16	2.35	128.66	141.28	2.35E-01	2.54E-04	2.66E-04	900.00	
