#	ID	name	angle[rad]	betax[m]	betay[m]	halfgap[m]	Material	Length[m]	sigx[m]	sigy[m]	tilt1[rad]	tilt2[rad]	Nsig_open			.TRUE. 8.0 9.3 9.3 10.0 5.7 6.7 6.7 10.0 900.0 6.8 8.0 7.0 6.8
	30	TCSG.A4R7.B1	8.08E-01	1.18E+02	1.52E+02	6.68E-03	C	1.00E+00	9.29E-04	1.05E-03	0.00E+00	0.00E+00	6.70			
	36	TCSG.B5R7.B1	2.47E+00	1.22E+02	2.68E+02	7.64E-03	C	1.00E+00	9.43E-04	1.40E-03	0.00E+00	0.00E+00	6.70			
	40	TCSG.D5R7.B1	8.97E-01	2.14E+02	1.59E+02	7.68E-03	C	1.00E+00	1.25E-03	1.08E-03	0.00E+00	0.00E+00	6.70			
	42	TCSG.E5R7.B1	2.28E+00	2.41E+02	1.36E+02	7.69E-03	C	1.00E+00	1.33E-03	9.97E-04	0.00E+00	0.00E+00	6.70			
	44	TCSG.6R7.B1	8.73E-03	3.36E+02	4.74E+01	1.05E-02	C	1.00E+00	1.57E-03	5.88E-04	0.00E+00	0.00E+00	6.70			
	50	TCLA.A6R7.B1	1.57E+00	2.97E+02	4.82E+01	5.93E-03	W	1.00E+00	1.47E-03	5.93E-04	0.00E+00	0.00E+00	10.00			
	51	TCLA.B6R7.B1	0.00E+00	1.59E+02	7.63E+01	1.08E-02	W	1.00E+00	1.08E-03	7.46E-04	0.00E+00	0.00E+00	10.00			
	52	TCLA.C6R7.B1	1.57E+00	6.86E+01	1.52E+02	1.05E-02	W	1.00E+00	7.08E-04	1.05E-03	0.00E+00	0.00E+00	10.00			
	53	TCLA.D6R7.B1	0.00E+00	6.51E+01	1.58E+02	6.89E-03	W	1.00E+00	6.89E-04	1.07E-03	0.00E+00	0.00E+00	10.00			
	54	TCLA.A7R7.B1	0.00E+00	6.40E+01	1.48E+02	6.83E-03	W	1.00E+00	6.83E-04	1.04E-03	0.00E+00	0.00E+00	10.00			
	60	TCTH.4L8.B1	0.00E+00	4.69E+01	4.84E+01	5.27E-01	W	1.00E+00	5.85E-04	5.94E-04	0.00E+00	0.00E+00	900.01			
	62	TCTVB.4L8	1.57E+00	1.28E+02	5.25E+01	5.57E-01	W	1.00E+00	9.67E-04	6.19E-04	0.00E+00	0.00E+00	900.00			
	55	TCTH.4L1.B1	0.00E+00	1.61E+02	7.96E+01	9.75E-01	W	1.00E+00	1.08E-03	7.62E-04	0.00E+00	0.00E+00	900.01			
	56	TCTVA.4L1.B1	1.57E+00	1.58E+02	7.98E+01	6.87E-01	W	1.00E+00	1.07E-03	7.63E-04	0.00E+00	0.00E+00	899.99			
