#	ID	name	angle[rad]	betax[m]	betay[m]	halfgap[m]	Material	Length[m]	sigx[m]	sigy[m]	tilt1[rad]	tilt2[rad]	Nsig_open
	40	TCSG.D5R7.B1	8.97E-01	2.22E+02	1.52E+02	2.10E-03	C	1.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0
	42	TCSG.E5R7.B1	2.28E+00	2.51E+02	1.31E+02	2.11E-03	C	1.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0
	44	TCSG.6R7.B1	8.73E-03	3.47E+02	4.75E+01	2.92E-03	C	1.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0
	50	TCLA.A6R7.B1	1.57E+00	3.07E+02	4.90E+01	1.57E-03	W	1.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0
	51	TCLA.B6R7.B1	0.00E+00	1.63E+02	7.99E+01	2.87E-03	W	1.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0
	52	TCLA.C6R7.B1	1.57E+00	6.85E+01	1.58E+02	2.82E-03	W	1.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0
	53	TCLA.D6R7.B1	0.00E+00	6.47E+01	1.64E+02	1.80E-03	W	1.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0
	54	TCLA.A7R7.B1	0.00E+00	6.29E+01	1.52E+02	1.78E-03	W	1.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0
	60	TCTH.4L8.B1	0.00E+00	9.91E+01	1.20E+02	1.85E-03	W	1.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0
	62	TCTVB.4L8.B1	1.57E+00	1.76E+02	1.10E+02	1.95E-03	W	1.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0
	55	TCTH.4L1.B1	0.00E+00	1.53E+03	6.41E+02	7.29E-03	W	1.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0
	56	TCTVA.4L1.B1	1.57E+00	1.54E+03	6.77E+02	4.84E-03	W	1.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0
