x	Curve6
0.216922	6.52397e-05
0.867688	0.000260959
1.59103	0.0079973
2.31384	0.00069589
2.53212	0.0383555
3.25519	0.038573
3.97826	0.0387905
4.62957	0.0540239
5.28034	0.0542197
5.93138	0.0619342
6.65445	0.0621517
7.23373	0.0848823
7.9568	0.0850998
8.67987	0.0853173
9.33091	0.0930319
9.98222	0.108265
10.6327	0.100942
11.2838	0.108657
11.9353	0.131409
12.5861	0.131605
13.2366	0.124282
13.8151	0.124456
14.4666	0.147208
15.1177	0.154923
15.8405	0.147621
16.3466	0.147773
16.9985	0.178045
17.649	0.170721
18.3	0.178436
19.0231	0.178654
19.6747	0.201406
20.3252	0.194083
20.9762	0.201797
21.627	0.201993
22.2783	0.217227
23.0016	0.224963
23.7247	0.22518
24.4478	0.225398
25.026	0.218053
25.677	0.225768
26.3286	0.24852
26.9791	0.241197
27.6298	0.241392
28.2809	0.249107
28.9314	0.241784
29.5824	0.249498
30.1606	0.242154
30.8116	0.249868
31.5347	0.250086
32.2578	0.250303
32.836	0.242958
33.487	0.250673
34.1378	0.250869
34.7885	0.251064
35.4393	0.25126
36.0901	0.251456
36.8131	0.251673
37.5362	0.251891
38.1147	0.252065
38.7654	0.25226
39.4162	0.252456
40.067	0.252652
40.7901	0.252869
41.4408	0.253065
42.1639	0.253282
42.8147	0.253478
43.4654	0.253674
44.1885	0.253891
44.839	0.246568
45.4892	0.231726
46.2123	0.231944
46.9354	0.232161
47.6584	0.232378
48.3815	0.232596
49.1046	0.232813
49.7548	0.217971
