x	Curve2
0.144343	-2.00748
0.867417	-2.00726
1.59049	-2.00704
2.31329	-2.01434
2.96406	-2.01415
3.61455	-2.02147
4.26532	-2.02127
4.77174	-2.0136
5.49482	-2.01339
6.21789	-2.01317
6.94096	-2.01295
7.66404	-2.01273
8.24277	-2.00504
8.96584	-2.00482
9.68892	-2.0046
10.412	-2.00439
11.1351	-2.00417
11.8581	-2.00395
12.5812	-2.00373
13.232	-2.00354
13.955	-2.00332
14.6781	-2.0031
15.4012	-2.00289
16.052	-2.00269
16.775	-2.00247
17.4258	-2.00228
18.1489	-2.00206
18.7999	-1.99435
19.5227	-2.00165
20.1735	-2.00145
20.8968	-1.99372
21.5473	-2.00104
22.1981	-2.00084
22.9214	-1.99311
23.5719	-2.00043
24.2227	-2.00023
24.9452	-2.01505
25.596	-2.01486
26.2465	-2.02218
26.8975	-2.01447
27.6206	-2.01425
28.1991	-2.01408
28.8498	-2.01388
29.5003	-2.0212
30.079	-2.01351
30.6575	-2.01334
31.3083	-2.01314
31.8867	-2.01297
32.6095	-2.02027
33.2603	-2.02007
33.9834	-2.01985
34.7064	-2.01964
35.3572	-2.01944
36.0803	-2.01922
36.8034	-2.01901
37.5264	-2.01879
38.2495	-2.01857
38.9003	-2.01838
39.6233	-2.01816
40.2744	-2.01044
40.9252	-2.01025
41.5036	-2.01007
42.1541	-2.0174
42.7326	-2.01722
43.3113	-2.00953
44.0341	-2.01683
44.6851	-2.00912
45.3359	-2.00892
45.9864	-2.01624
46.6374	-2.00853
47.2882	-2.00833
48.0113	-2.00812
48.6623	-2.0004
49.3854	-2.00018
