x	Curve3
10.9989	-0.0148148
11.0284	-0.00246914
11.0547	-0.0345679
11.1392	-0.0518519
11.1954	-0.0641975
11.28	-0.0802469
11.3935	-0.091358
11.507	-0.102469
11.5919	-0.11358
11.7054	-0.124691
11.8475	-0.134568
12.1317	-0.155556
12.2739	-0.165432
12.416	-0.175309
12.5868	-0.185185
12.7004	-0.195062
12.8997	-0.203704
13.0419	-0.21358
13.2413	-0.222222
13.4407	-0.230864
13.64	-0.239506
13.8395	-0.246914
14.0389	-0.255556
14.2383	-0.264198
14.4377	-0.27284
14.6085	-0.281481
14.8079	-0.288889
15.036	-0.296296
15.2354	-0.303704
15.4349	-0.311111
15.6344	-0.318519
15.8338	-0.32716
16.0619	-0.333333
16.2899	-0.340741
16.518	-0.348148
16.746	-0.355556
16.9456	-0.361728
17.1737	-0.367901
17.4017	-0.376543
17.6299	-0.381481
17.8294	-0.388889
18.086	-0.396296
18.3141	-0.402469
18.5422	-0.408642
18.7704	-0.414815
19.0271	-0.420988
19.2551	-0.428395
19.4832	-0.434568
19.7399	-0.440741
