x	Curve4
23.7082	0.0220657
24.4331	0.0220567
25.1585	0.0245322
25.8834	0.0245232
26.5358	0.0245151
27.1884	0.0257492
27.9133	0.0257402
28.6385	0.0269734
29.3636	0.0282067
30.0885	0.0281977
30.8134	0.0281887
31.4658	0.0281805
32.1907	0.0281715
32.8438	0.0318901
33.5687	0.0318811
34.2211	0.031873
34.8735	0.0318649
35.5259	0.0318568
36.1783	0.0318487
40.5293	0.0404903
41.2542	0.0404813
41.9791	0.0404723
44.3719	0.0441693
45.0968	0.0441603
45.8217	0.0441513
46.4741	0.0441432
47.199	0.0441342
48.432	0.0478456
49.1569	0.0478366
49.8818	0.0478276
