x	Curve6
7.86436	0.0238956
8.51371	0.0276465
8.80231	0.0326262
9.52381	0.0326531
12.3377	0.0426958
12.9149	0.0414751
13.5642	0.045226
14.2857	0.0452529
14.9351	0.0490038
15.5123	0.0515098
16.2338	0.0527789
16.811	0.0565271
17.5325	0.0577962
18.254	0.0603076
18.9033	0.0628163
19.6248	0.0640854
20.2742	0.0678363
20.9957	0.0691054
21.645	0.0716141
23.4488	0.0766503
24.0981	0.0804012
28.4993	0.0991987
29.2208	0.100468
29.8701	0.102977
30.5195	0.106727
31.241	0.107997
31.9625	0.110508
32.6118	0.114259
33.3333	0.114286
33.9827	0.118037
34.632	0.121788
35.3535	0.121814
36.0029	0.124323
36.6522	0.129316
37.2294	0.129338
37.8788	0.133089
38.5281	0.13684
39.1053	0.135619
39.7547	0.13937
40.404	0.141878
41.0534	0.144387
41.6306	0.146893
42.3521	0.149404
43.0014	0.150671
43.6508	0.154422
44.3723	0.156933
45.0216	0.159442
45.671	0.16195
46.3203	0.165701
47.0418	0.166971
47.6912	0.169479
48.3405	0.17323
48.9899	0.176981
49.7114	0.17825
