x	Curve8
0.253348	1.00759
0.904114	1.00779
1.62719	1.00801
2.35026	1.00823
3.07306	1.00092
3.79614	1.00114
4.51921	1.00136
5.24228	1.00158
5.96536	1.00179
6.68843	1.00201
7.41151	1.00223
7.70101	1.00983
8.42408	1.01005
9.07485	1.01025
9.65331	1.01042
10.3767	1.01816
11.0997	1.01838
12.1835	0.996145
12.9066	0.996363
13.6297	0.99658
14.3527	0.996798
15.0758	0.997015
15.7989	0.997233
16.522	0.99745
17.245	0.997668
17.9681	0.997885
18.6912	0.998103
19.4143	0.99832
20.1373	0.998538
20.8604	0.998755
21.5835	0.998972
22.3066	0.99919
23.0296	0.999407
23.7527	0.999625
24.4758	0.999842
25.1988	1.00006
25.9219	1.00028
26.645	1.00049
27.3681	1.00071
28.0911	1.00093
28.8142	1.00115
29.5373	1.00136
30.2604	1.00158
30.9834	1.0018
31.7065	1.00202
32.4296	1.00223
33.1527	1.00245
33.8757	1.00267
34.5988	1.00289
35.3219	1.0031
36.045	1.00332
36.768	1.00354
37.4911	1.00376
38.2142	1.00397
38.9372	1.00419
39.6603	1.00441
40.3834	1.00463
41.1065	1.00484
41.8295	1.00506
42.5526	1.00528
43.2757	1.0055
43.9988	1.00571
44.7218	1.00593
45.4449	1.00615
46.168	1.00637
46.8911	1.00658
47.6141	1.0068
48.3372	1.00702
49.0603	1.00724
49.7833	1.00745
