x	Curve9
0.0611621	2.0001
0.366972	2.00061
0.672783	2.00113
0.978593	2.00164
1.2844	2.00215
1.59021	2.00266
1.89602	2.00317
2.20183	2.00368
2.50765	2.00419
2.81346	2.00471
3.11927	2.00522
3.3945	2.01311
3.70031	2.01363
3.97554	2.01409
4.28135	2.02203
4.52599	2.01501
4.80122	2.01547
5.10703	2.02341
5.38226	2.02387
5.65749	2.02433
5.9633	2.02485
6.26911	2.02536
6.51376	2.01833
6.78899	2.02623
7.06422	2.02669
7.37003	2.0272
7.67584	2.02771
7.95107	2.02817
8.25688	2.02868
8.56269	2.02919
8.8685	2.02971
9.17431	2.03022
9.48012	2.03073
9.78593	2.03124
10.0917	2.03175
10.3976	2.03226
10.7034	2.03278
11.0092	2.03329
11.315	2.0338
11.6208	2.03431
11.9266	2.03482
12.2324	2.03533
12.5382	2.03584
12.844	2.03636
13.1498	2.03687
13.4557	2.03738
13.7615	2.03789
14.0673	2.0384
14.3731	2.03891
14.6789	2.03943
14.9847	2.03994
15.2599	2.0404
15.5657	2.04091
15.8716	2.05629
15.9327	2.03409
16.208	2.03455
16.5138	2.03506
16.8196	2.03557
17.1254	2.03608
17.4312	2.03659
17.737	2.03711
18.0428	2.03762
18.3486	2.03813
18.6544	2.03864
18.9602	2.03915
19.2661	2.03966
19.5719	2.04018
19.8777	2.04069
