x	Curve5
0.851078	-0.0435023
1.12476	-0.0654511
1.42847	-0.0650559
1.70216	-0.0870046
2.0061	-0.101479
2.27955	-0.108558
2.58349	-0.123033
2.82658	-0.130151
3.13052	-0.144626
3.4042	-0.166574
3.67754	-0.166219
3.95134	-0.195602
4.22491	-0.210116
4.52862	-0.209721
4.80242	-0.239105
5.07576	-0.238749
5.34933	-0.253263
5.6229	-0.267777
5.92672	-0.274817
6.20041	-0.296765
6.50435	-0.31124
6.7778	-0.318319
7.08174	-0.332793
7.3552	-0.339872
7.62888	-0.361821
7.93282	-0.376296
8.20628	-0.383375
8.51033	-0.405284
8.81405	-0.404889
9.08773	-0.426838
9.39155	-0.433877
9.66512	-0.448391
9.93881	-0.47034
10.2121	-0.469984
10.4555	-0.491972
10.7592	-0.491577
11.0329	-0.513526
11.3367	-0.520566
11.6103	-0.53508
11.8838	-0.549594
12.1876	-0.556633
12.4613	-0.578582
12.7652	-0.585622
13.0387	-0.600135
13.3123	-0.614649
13.6161	-0.621689
13.8897	-0.636203
14.1935	-0.643243
14.4672	-0.665191
14.771	-0.672231
15.0446	-0.686745
15.3183	-0.708694
15.5916	-0.708338
15.8653	-0.730287
16.169	-0.729892
16.4427	-0.75184
16.7466	-0.766315
17.0201	-0.773394
17.2937	-0.787908
17.5975	-0.794947
17.8712	-0.816896
18.1748	-0.809066
18.4486	-0.83845
18.7221	-0.852964
19.026	-0.860003
19.2693	-0.881992
19.573	-0.881596
