x	Curve4
0.4329	0.0025006
1.1544	0.00252749
1.80375	0.0062784
2.52525	0.00878976
3.39105	0.0125487
4.11255	0.0138179
4.7619	0.0163265
5.48341	0.0175957
6.20491	0.020107
6.92641	0.0213761
8.80231	0.021446
9.52381	0.0214729
10.0289	0.0252185
10.7504	0.0252454
11.4719	0.0252722
12.1212	0.0290232
12.8427	0.02905
13.5642	0.0290769
14.2857	0.0315883
15.0072	0.0328574
15.7287	0.0328843
16.3781	0.0341507
17.0274	0.0366594
17.7489	0.0366863
18.4704	0.0367132
19.1919	0.0379823
19.8413	0.040491
20.5628	0.0405179
21.2843	0.0405448
22.0058	0.0405716
22.6551	0.0418381
23.3766	0.0443494
24.0981	0.0443763
24.8196	0.0444032
25.5411	0.0444301
26.2626	0.044457
26.9841	0.0444839
27.7056	0.0445108
28.2828	0.0470168
28.86	0.0470383
29.5094	0.0483047
30.1587	0.0483289
30.8081	0.0471109
31.4574	0.0471351
32.1068	0.0484015
32.7561	0.0471835
33.4776	0.0484526
34.0548	0.0484741
34.7763	0.048501
35.3535	0.0472803
36.075	0.0473071
36.6522	0.0485709
37.3016	0.0473529
38.0231	0.048622
38.6724	0.0474039
39.3218	0.0486704
39.9711	0.0486946
40.6205	0.0474765
41.2698	0.048743
41.9192	0.0487672
42.5685	0.0487914
43.2179	0.0450889
43.8672	0.0451131
44.5166	0.0451373
45.2381	0.0451642
45.8874	0.0439461
46.5368	0.0452126
47.2583	0.0452394
47.9076	0.0452636
48.6291	0.0440483
49.1342	0.0453093
49.7835	0.0453335
