x	Curve10
11.3525	2.01093
12.0033	2.01113
12.7264	2.01135
13.4494	2.01156
14.1728	2.0193
14.8233	2.01198
15.5464	2.01219
16.2694	2.01241
16.9202	2.01261
17.571	2.0128
18.1497	2.0205
18.7282	2.02067
19.451	2.01337
20.1017	2.01356
20.7525	2.01376
21.4035	2.02147
22.1263	2.01417
22.7771	2.01437
23.5004	2.02211
24.1512	2.0223
24.802	2.0225
25.525	2.02271
26.2481	2.02293
26.9712	2.02315
27.6943	2.02337
28.4173	2.02358
29.1404	2.0238
29.8635	2.02402
30.5866	2.02424
31.3096	2.02445
32.0327	2.02467
32.7558	2.02489
33.4789	2.02511
34.2019	2.02532
34.925	2.02554
35.6481	2.02576
36.3711	2.02598
37.0942	2.02619
37.8173	2.02641
38.5404	2.02663
39.2634	2.02685
39.9865	2.02706
40.7096	2.02728
41.4327	2.0275
42.1557	2.02772
42.8788	2.02793
43.6019	2.02815
44.325	2.02837
45.048	2.02859
45.7711	2.0288
46.4942	2.02902
47.1441	2.00666
47.8672	2.00688
48.5906	2.01461
49.2416	2.02233
49.9647	2.02255
